"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4568",209.55023753799,2.73196338320294,0.765290979314468,3.56983612383642,0.000357204617446616,0.0299638447384964
"3587",26.3391017927913,-3.1221569804815,0.877032391947848,-3.55991068191601,0.000370980950832239,0.0309760545996744
"7056",66.226604664485,-3.00977195521456,0.846888781103766,-3.55391643196863,0.000379539793785911,0.0314154716236337
"29057",532.543231139487,1.22899073410213,0.34582462426961,3.55379764150047,0.000379711258103416,0.0314154716236337
"643988",1820.3515721732,1.28669486938579,0.363189544397471,3.54276407246361,0.000395956767946031,0.0324630799928242
"116844",22.1614338055893,-2.15332961839879,0.607619414703601,-3.54387889243004,0.000394286316549019,0.0324630799928242
"2214",73.720162835037,-3.20820136437219,0.907265410261979,-3.53612220645092,0.000406046811959743,0.0329917586811596
"3561",25.8070706521959,-3.62383595067658,1.02462495242846,-3.53674380278144,0.000405092418699234,0.0329917586811596
"3683",33.0537345893037,-3.38395778553278,0.957468146506467,-3.53427714319259,0.000408892089879922,0.0330746240023853
"2185",241.383726600664,-1.35220492794434,0.383256571620885,-3.52819763070348,0.000418399650703875,0.0336932589826823
"79689",15.185526490478,-4.38252094426574,1.24261678228041,-3.52684834677919,0.000420537562596608,0.0337155756490616
"8437",517.999937128716,2.79291236735412,0.792463876173425,3.5243402902354,0.000424538655063716,0.0338864136171783
"727856",20.331868321163,3.66903095527428,1.04274241553463,3.5186359551636,0.00043377149336234,0.0344715161764572
"2583",33.7876547853551,3.01547993139981,0.858724016314428,3.51158215458093,0.000445447758919291,0.0352448381827888
"6772",836.568508797487,-1.17227500653369,0.334123185563058,-3.5085114029372,0.000450621916534711,0.0354992108943149
"4332",278.542138390745,-2.92705327945627,0.835840282572311,-3.50192894562131,0.000461902784556254,0.0362303746899341
"1844",115.146092368581,-1.69609726663225,0.484679661431595,-3.49941910420277,0.000466273064805488,0.03641552440177
"118788",21.1535475389577,-3.13141635987844,0.895721632386694,-3.49597045181842,0.000472341001657517,0.036615165610756
"5266",8.74580020138742,-5.59584287634208,1.60079209812176,-3.495671226081,0.000472870950544562,0.036615165610756
"10288",101.442006587458,-2.76995359015103,0.793023941545681,-3.49290033381857,0.000477804804121311,0.0368397670037193
"4575",283.279882484867,2.68618524092334,0.769458690158833,3.49100643774502,0.000481204658146305,0.0369446915294615
"768206",93.8455136741329,1.64887167929055,0.472507420763241,3.48962070611955,0.000483706553673436,0.0369800803629072
"3433",24.4731668800389,-2.67214254112609,0.766181537215728,-3.48761019592895,0.000487358044176216,0.0371026907665078
"134187",31.9776754305681,4.41695661870578,1.2690321911364,3.48057098122189,0.000500346226935551,0.0379321057985157
"63977",1688.15147943503,1.36611491175087,0.393158873256493,3.47471468832812,0.000511396959574694,0.0386083396272245
"654817",43.9565169841292,-3.00287436584392,0.868937617400431,-3.45579970956662,0.000548662849383965,0.0410794304462316
"256714",67.3659458129858,2.72278334612586,0.787791605259669,3.45622284871694,0.000547802225035245,0.0410794304462316
"8862",47.7398960250211,2.83772591141965,0.821507664956593,3.45429024276917,0.000551743231168173,0.0411400642203133
"101929947",42.1521357898263,1.84109538776312,0.534029828337801,3.44755159743349,0.000565692343636788,0.0419654099615912
"7018",39.1958891758097,1.74041733487875,0.504994949139652,3.44640543008174,0.000568097362444185,0.0419654099615912
"7223",80.2972210329844,2.27117969878036,0.659150659460787,3.44561545404245,0.000569760519374769,0.0419654099615912
